$ python train.py 1>training.log
Epoch 1/1000, Train Loss: -0.1113, Learning Rate: 4.0e-04
Epoch 2/1000, Train Loss: -0.1546, Learning Rate: 4.0e-04
Epoch 3/1000, Train Loss: -0.1704, Learning Rate: 4.0e-04
Epoch 4/1000, Train Loss: -0.1791, Learning Rate: 4.0e-04
Epoch 5/1000, Train Loss: -0.1878, Learning Rate: 4.0e-04
Epoch 6/1000, Train Loss: -0.1921, Learning Rate: 4.0e-04
Epoch 7/1000, Train Loss: -0.2004, Learning Rate: 4.0e-04
Epoch 8/1000, Train Loss: -0.2057, Learning Rate: 4.0e-04
Epoch 9/1000, Train Loss: -0.2089, Learning Rate: 4.0e-04
Epoch 10/1000, Train Loss: -0.2141, Learning Rate: 4.0e-04
Epoch 11/1000, Train Loss: -0.2131, Learning Rate: 4.0e-04
Epoch 12/1000, Train Loss: -0.2172, Learning Rate: 4.0e-04
Epoch 13/1000, Train Loss: -0.2220, Learning Rate: 4.0e-04
Epoch 14/1000, Train Loss: -0.2203, Learning Rate: 4.0e-04
Epoch 15/1000, Train Loss: -0.2228, Learning Rate: 4.0e-04
Epoch 16/1000, Train Loss: -0.2247, Learning Rate: 4.0e-04
Epoch 17/1000, Train Loss: -0.2268, Learning Rate: 4.0e-04
Epoch 18/1000, Train Loss: -0.2287, Learning Rate: 4.0e-04
Epoch 19/1000, Train Loss: -0.2292, Learning Rate: 4.0e-04
Epoch 20/1000, Train Loss: -0.2292, Learning Rate: 4.0e-04
Epoch 21/1000, Train Loss: -0.2315, Learning Rate: 4.0e-04
Epoch 22/1000, Train Loss: -0.2312, Learning Rate: 4.0e-04
Epoch 23/1000, Train Loss: -0.2335, Learning Rate: 4.0e-04
Epoch 24/1000, Train Loss: -0.2363, Learning Rate: 4.0e-04
Epoch 25/1000, Train Loss: -0.2335, Learning Rate: 4.0e-04
Epoch 25/1000, Val L1: 0.0340, Val PSNR: 26.86 dB
Saving checkpoint to ./ckpts/ckpt_24.pth
Epoch 26/1000, Train Loss: -0.2353, Learning Rate: 4.0e-04
Epoch 27/1000, Train Loss: -0.2376, Learning Rate: 4.0e-04
Epoch 28/1000, Train Loss: -0.2351, Learning Rate: 4.0e-04
Epoch 29/1000, Train Loss: -0.2395, Learning Rate: 4.0e-04
Epoch 30/1000, Train Loss: -0.2399, Learning Rate: 4.0e-04
Epoch 31/1000, Train Loss: -0.2399, Learning Rate: 4.0e-04
Epoch 32/1000, Train Loss: -0.2402, Learning Rate: 4.0e-04
Epoch 33/1000, Train Loss: -0.2401, Learning Rate: 4.0e-04
Epoch 34/1000, Train Loss: -0.2404, Learning Rate: 4.0e-04
Epoch 35/1000, Train Loss: -0.2416, Learning Rate: 4.0e-04
Epoch 36/1000, Train Loss: -0.2431, Learning Rate: 4.0e-04
Epoch 37/1000, Train Loss: -0.2436, Learning Rate: 4.0e-04
Epoch 38/1000, Train Loss: -0.2437, Learning Rate: 4.0e-04
Epoch 39/1000, Train Loss: -0.2445, Learning Rate: 4.0e-04
Epoch 40/1000, Train Loss: -0.2451, Learning Rate: 4.0e-04
Epoch 41/1000, Train Loss: -0.2451, Learning Rate: 4.0e-04
Epoch 42/1000, Train Loss: -0.2462, Learning Rate: 4.0e-04
Epoch 43/1000, Train Loss: -0.2447, Learning Rate: 4.0e-04
Epoch 44/1000, Train Loss: -0.2454, Learning Rate: 4.0e-04
Epoch 45/1000, Train Loss: -0.2422, Learning Rate: 4.0e-04
Epoch 46/1000, Train Loss: -0.2468, Learning Rate: 4.0e-04
Epoch 47/1000, Train Loss: -0.2489, Learning Rate: 4.0e-04
Epoch 48/1000, Train Loss: -0.2486, Learning Rate: 4.0e-04
Epoch 49/1000, Train Loss: -0.2496, Learning Rate: 4.0e-04
Epoch 50/1000, Train Loss: -0.2471, Learning Rate: 4.0e-04
Epoch 50/1000, Val L1: 0.0312, Val PSNR: 27.54 dB
Saving checkpoint to ./ckpts/ckpt_49.pth
Epoch 51/1000, Train Loss: -0.2475, Learning Rate: 4.0e-04
Epoch 52/1000, Train Loss: -0.2479, Learning Rate: 4.0e-04
Epoch 53/1000, Train Loss: -0.2481, Learning Rate: 4.0e-04
Epoch 54/1000, Train Loss: -0.2488, Learning Rate: 4.0e-04
Epoch 55/1000, Train Loss: -0.2513, Learning Rate: 4.0e-04
Epoch 56/1000, Train Loss: -0.2519, Learning Rate: 4.0e-04
Epoch 57/1000, Train Loss: -0.2512, Learning Rate: 4.0e-04
Epoch 58/1000, Train Loss: -0.2507, Learning Rate: 4.0e-04
Epoch 59/1000, Train Loss: -0.2525, Learning Rate: 4.0e-04
Epoch 60/1000, Train Loss: -0.2521, Learning Rate: 4.0e-04
Epoch 61/1000, Train Loss: -0.2525, Learning Rate: 4.0e-04
Epoch 62/1000, Train Loss: -0.2534, Learning Rate: 4.0e-04
Epoch 63/1000, Train Loss: -0.2542, Learning Rate: 4.0e-04
Epoch 64/1000, Train Loss: -0.2524, Learning Rate: 4.0e-04
Epoch 65/1000, Train Loss: -0.2544, Learning Rate: 4.0e-04
